geoid,keys,address,city,country,lat,long,name,postalCode,province,websites,address_full
39007,us/oh/ashtabula/1040wprospectrd/-791445730,1040 W Prospect Rd,Ashtabula,US,41.8638,-80.796,Wendy's,44004,OH,http://www.wendys.com,"1040, West Prospect Road, Ashtabula, Ashtabula County, Ohio, 44004, United States"
18173,us/in/newburgh/7899wstateroute66/-791445730,7899 W State Route 66,Newburgh,US,37.97619,-87.39391,Wendy's,47630,IN,http://www.wendys.com,"Wendy's, State Route 66, Warrick County, Indiana, 47630, United States"
09003,us/ct/newington/2384berlintpke/-791445730,2384 Berlin Tpke,Newington,US,41.686435,-72.707145,Wendy's,6111,CT,http://www.wendys.com,"Wendy's, 2384, Berlin Turnpike, Newington, Capitol Region COG, Connecticut, 06111, United States"
13295,us/ga/chickamauga/15majorjamesclarkgordonave/-864103396,15 Major James Clark Gordon Ave,Chickamauga,US,34.88728,-85.26817,Taco Bell,30707,GA,"https://locations.tacobell.com/ga/chickamauga/15-major-james-clark-gordon-dr.html,https://locations.tacobell.com/ga/chickamauga/15-major-james-clark-gordon-dr.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029064andutm_content=website","Taco Bell, Lafayette Road, Chickamauga, Walker County, Georgia, 30707, United States"
16055,us/id/coeurdalene/208applewayave/-1161002137,208 Appleway Ave,Coeur D Alene,US,47.7005,-116.7881,McDonald's,83814,ID,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral","McDonald's, West Appleway Avenue, Coeur d'Alene, Kootenai County, Idaho, 83814, United States"
16055,us/id/coeurdalene/268whanleyave/-864103396,268 W Hanley Ave,Coeur D Alene,US,47.7293,-116.78913,Taco Bell,83815,ID,"http://www.tacobell.com,https://locations.tacobell.com/id/coeur-d-alene/268-w-hanley-ave.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=023490andutm_content=website,https://locations.tacobell.com/id/coeur-d-alene/268-w-hanley-ave.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=023490&utm_content=website","110, West Hanley Avenue, Coeur d'Alene, Kootenai County, Idaho, 83815, United States"
16055,us/id/hayden/181wprairieave/93075755,181 W Prairie Ave,Hayden,US,47.74482,-116.78951,Arby's,83835,ID,"http://www.arbys.com,https://locations.arbys.com/us/id/hayden/181-w-prairie-ave.html,http://locations.arbys.com/us/id/hayden/181-w-prairie-ave.html","199, West Prairie Avenue, Hayden, Kootenai County, Idaho, 83835, United States"
16055,us/id/coeurdalene/2626ngovernmentway/-1947870258,2626 N Government Way,Coeur D Alene,US,47.70162,-116.78547,Jimmy John's,83815,ID,http://www.jimmyjohns.com,"Jimmy John's, North Government Way, Coeur d'Alene, Kootenai County, Idaho, 83835, United States"
16055,us/id/postfalls/3904emullanavested/-1055723171,3904 E Mullan Ave Ste D,Post Falls,US,47.71531,-116.89515,Domino's Pizza,83854,ID,"https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps","Happy Nails, East Mullan Avenue, Post Falls, Kootenai County, Idaho, 83854, United States"
35031,us/nm/gallup/2300ehistorichighway66/-1161002137,2300 E Historic Highway 66,Gallup,US,35.52902,-108.70858,McDonald's,87301,NM,"http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com","McDonald's, Historic US Highway 66, Gallup, McKinley County, New Mexico, 87301, United States"
35031,us/nm/gallup/840nhighway666/93075755,840 N Highway 666,Gallup,US,35.53447,-108.758241,Arby's,87301,NM,http://www.arbys.com,"Starbucks, US 491, Gallup, McKinley County, New Mexico, 87301, United States"
35031,us/nm/gallup/1590wmaloneyave/554191587,1590 W Maloney Ave,Gallup,US,35.52706,-108.76687,Carl's Jr.,87301,NM,http://www.carlsjr.com,"Applebee's, Maloney Avenue, Gallup, McKinley County, New Mexico, 87301, United States"
01025,us/al/thomasville/34356highway43/-2061630068,34356 Highway 43,Thomasville,US,31.9357,-87.7394,Burger King,36784,AL,http://www.bk.com,"698, William Street, Thomasville, Clarke County, Alabama, 36784, United States"
28115,us/ms/pontotoc/163highway15n/-791445730,163 Highway 15 N,Pontotoc,US,34.255882,-89.018165,Wendy's,38863,MS,http://www.wendys.com,"KC's School, MS 15, North Junction, Pontotoc, Pontotoc County, Mississippi, 38863, United States"
28081,us/ms/tupelo/2222wmainst/-66712705,2222 W Main St,Tupelo,US,34.255949,-88.738971,Pizza Hut,38801,MS,http://www.pizzahut.com,"Pizza Hut, West Main Street, Horton Subdivision, Tupelo, Lee County, Mississippi, 38801, United States"
28115,us/ms/pontotoc/321highway15n/106088,321 Highway 15 N,Pontotoc,US,34.2655,-89.0202,KFC,38863,MS,http://www.kfc.com,"Red Karma, Peoples Drive, Pontotoc, Pontotoc County, Mississippi, 38863, United States"
